Code,Year,Sales,Bills
0110,1999,16147961.0,180
0110,2000,45873960.0,267
0110,2001,40402180.0,214
0110,2002,232776.31,218
0110,2003,331355.0,316
0110,2004,431159.0,473
0110,2005,145200.55,385
0110,2006,117863.85,425
0110,2007,182703.3,626
0110,2008,119326.52,450
0110,2009,12199.91,62
0110,2010,8702.9,39
0110,2011,9294.86,21
0110,2012,336.3,2
0235,2004,82395.63,30
0235,2005,175653.48,91
0235,2006,44203.44,46
0291,1999,4950175.0,115
0291,2000,8393796.0,81
0291,2001,11956905.0,68
0291,2002,58817.56,82
0291,2003,65862.78,106
0291,2004,66365.086,196
0291,2005,64204.84,131
0291,2006,41277.81,80
0291,2007,119963.03,124
0291,2008,121344.6,113
0291,2009,62184.3,64
0291,2010,12040.9,26
0291,2011,14174.785,9
0291,2012,2048.7717,3
0291,2013,3361.2642,5
0291,2014,7255.044,8
0291,2015,4726.1406,4
0291,2016,6241.0605,5
0291,2017,3311.651,8
0291,2018,2185.3845,4
0291,2019,2200.6301,4
0291,2020,2200.6301,6
0291,2021,1014.48,4
0291,2022,630.91003,2
0865,2000,294246.0,3
0865,2001,278400.0,2
0865,2002,5929.76,4
0865,2003,1231.34,2
0865,2004,49135.91,16
0865,2005,19954.08,21
0865,2006,20957.14,12
0865,2008,-170.76001,2
0865,2009,-10231.2,1
0939,2000,206712.0,4
0939,2001,6336926.0,18
0939,2002,69293.18,24
0939,2003,12939.8,6
0939,2004,15274.891,20
0939,2005,21508.6,23
0939,2006,34523.34,45
0939,2007,19228.03,33
0939,2008,17994.139,28
0939,2009,76224.18,41
0939,2010,105602.48,47
0939,2011,85899.9,64
0939,2012,203163.47,85
0939,2013,169528.23,109
0939,2014,149178.14,111
0939,2015,111533.51,117
0939,2016,141996.22,144
0939,2017,189572.33,169
0939,2018,203945.58,196
0939,2019,216154.2,207
0939,2020,279910.88,238
0939,2021,452728.12,183
0939,2022,303291.94,103
10350,2005,242.44,1
10350,2006,58.0,1
10350,2007,0.0,2
10446,2005,124256.305,19
10446,2006,15526.6,6
10446,2007,16251.17,5
10446,2008,24331.23,7
10446,2009,21094.6,5
10446,2010,21094.6,5
10446,2011,21458.3,1
10446,2012,21458.3,1
10446,2013,22003.85,1
10446,2014,22003.85,1
10446,2015,11737.0,1
10446,2016,11737.0,1
10446,2017,11737.0,1
10446,2018,11737.0,1
10446,2019,12206.48,1
10641,2010,212.40001,4
10641,2011,1344.2561,25
10641,2012,1463.2224,24
10641,2013,1545.668,25
10641,2014,1621.0269,25
10641,2015,1559.3268,24
10641,2016,1484.543,22
10641,2017,1146.939,13
10641,2018,2344.831,13
10641,2019,1110.6001,14
10641,2020,1790.6201,13
10641,2021,1452.0,12
10641,2022,1089.0,9
10840,1999,580.0,1
10840,2000,10962.0,2
10840,2002,114.84,1
10840,2003,208.79999,2
10840,2005,991.8,3
10840,2006,290.0,1
10840,2007,191.4,3
10941,2003,10799.6,1
10941,2004,1914.0,1
10941,2005,2006.8,1
10941,2006,2006.8,1
10941,2007,2088.0,1
10941,2008,-2088.0,1
1111110386,2020,32.7,1
1111110388,2020,212.35,6
1111110388,2021,153.25,12
1111110388,2022,41.45,3
1111110389,2020,17.5,1
1111110390,2020,214.8,6
1111110390,2021,508.25,12
1111110390,2022,117.0,3
1111110391,2020,12502.16,2
1111110391,2021,8721.72,1
1111110396,2020,8500.25,3
1111110396,2021,11585.75,3
1111110396,2022,-4265.25,1
1111110397,2020,75784.72,2
1111110397,2021,49404.3,3
1111110397,2022,21274.14,2
1111110402,2020,2.0,1
1111110403,2020,351.75,7
1111110403,2021,458.15,12
1111110403,2022,60.199997,3
1111110404,2020,90.75,6
1111110404,2021,219.35,10
1111110405,2020,174.9,6
1111110405,2021,433.35,12
1111110405,2022,78.6,3
1111110406,2020,76.2,6
1111110406,2021,291.5,13
1111110406,2022,83.0,3
1111110407,2020,118.2,6
1111110407,2021,259.35,12
1111110407,2022,68.55,3
1111110408,2020,92.5,6
1111110408,2021,156.7,12
1111110408,2022,32.05,3
1111110409,2020,17.15,3
1111110410,2020,132.85,6
1111110410,2021,324.1,12
1111110410,2022,70.65,3
1111110411,2020,24.0,5
1111110411,2021,66.05,8
1111110411,2022,5.65,1
1111110412,2020,133.0,6
1111110412,2021,330.05,12
1111110412,2022,84.95,3
1111110413,2020,33.6,5
1111110413,2021,52.1,12
1111110413,2022,2.5,1
1111110414,2020,12.8,4
1111110414,2021,4.4,1
1111110415,2020,272.0,7
1111110415,2021,639.85,11
1111110415,2022,156.7,3
1111110416,2020,264.5,6
1111110416,2021,352.3,12
1111110416,2022,91.05,3
1111110417,2020,157.1,6
1111110417,2021,212.4,12
1111110417,2022,55.0,3
1111110418,2020,107.15,6
1111110418,2021,291.95,12
1111110418,2022,66.05,3
1111110419,2020,343.95,6
1111110419,2021,636.45,12
1111110419,2022,162.7,3
1111110420,2020,367.0,6
1111110420,2021,133.90001,3
1111110420,2022,16000.0,1
1111110421,2020,116.85,6
1111110421,2021,282.85,12
1111110421,2022,38.75,3
1111110422,2020,153.85,6
1111110422,2021,410.7,13
1111110422,2022,140.1,3
1111110423,2020,137.55,6
1111110423,2021,437.4,12
1111110423,2022,87.35,3
1111110424,2020,40.65,6
1111110424,2021,143.35,11
1111110424,2022,22.15,2
1111110425,2020,168.1,6
1111110425,2021,588.39996,12
1111110425,2022,112.65,3
1111110426,2020,106.65,6
1111110426,2021,311.65,12
1111110426,2022,76.4,3
1111110427,2020,31.0,3
1111110427,2021,0.5,1
1111110427,2022,0.5,1
1111110428,2020,184.65,6
1111110428,2021,251.35,11
1111110428,2022,70.85,3
1111110429,2020,57.0,6
1111110429,2021,48.8,12
1111110429,2022,67.1,3
1111110430,2020,1.0,1
1111110431,2020,255.1,7
1111110431,2021,523.4,12
1111110431,2022,118.2,3
1111110432,2020,80.4,6
1111110432,2021,251.05,12
1111110432,2022,62.0,3
1111110433,2020,439.85,6
1111110433,2021,82.05,3
1111110434,2020,162.5,5
1111110434,2021,671.6,12
1111110434,2022,140.6,3
1111110435,2020,291.1,6
1111110435,2021,478.65,12
1111110435,2022,118.15,3
1111110436,2020,435.55,6
1111110436,2021,900.8,12
1111110436,2022,168.85,3
1111110437,2020,207.5,6
1111110437,2021,300.4,11
1111110437,2022,103.2,3
1111110438,2020,8.0,2
1111110438,2021,1.0,1
1111110438,2022,2.25,1
1111110439,2020,28.0,6
1111110439,2021,82.5,10
1111110439,2022,32.75,3
1111110440,2020,88.4,6
1111110440,2021,392.5,12
1111110440,2022,114.75,3
1111110441,2020,102.85,6
1111110441,2021,165.9,9
1111110442,2020,154.15,6
1111110442,2021,225.55,10
1111110444,2020,37683.03,2
1111110444,2021,87969.42,5
1111110448,2020,1576.39,1
1111110448,2021,20868.16,7
1111110452,2020,71.75,3
1111110452,2021,216.3,7
1111110452,2022,89.95,3
1111110453,2020,59.9,2
1111110454,2020,55.15,5
